symbol,ISA_9,ISB_26,stamp
AAPL,148.050275,148.3603,2022-06-22 10:08:00
AAPL,148.050275,148.3603,2022-06-21 10:08:00
AAPL,148.144975,148.45499999999998,2022-06-20 10:08:00
AAPL,148.17497500000002,148.485,2022-06-17 10:08:00
AAPL,148.17497500000002,148.485,2022-06-16 10:08:00
AAPL,148.12495,148.485,2022-06-15 10:08:00
AAPL,148.12495,148.485,2022-06-14 10:08:00
AAPL,148.12495,148.485,2022-06-13 10:08:00
AAPL,148.145,148.485,2022-06-10 10:08:00
AAPL,148.17749999999998,148.485,2022-06-09 10:08:00
AAPL,148.26,148.525,2022-06-08 10:08:00
AAPL,148.26,148.525,2022-06-07 10:08:00
AAPL,148.26,148.525,2022-06-06 10:08:00
AAPL,148.3375,148.525,2022-06-03 10:08:00
AAPL,148.4225,148.595,2022-06-02 10:08:00
AAPL,148.48755,148.60005,2022-06-01 10:08:00
AAPL,148.51005,148.60005,2022-05-31 10:08:00
AAPL,148.545025,148.60005,2022-05-30 10:08:00
AAPL,148.545025,148.60005,2022-05-27 10:08:00
AAPL,148.545025,148.585,2022-05-26 10:08:00
AAPL,148.545025,148.57,2022-05-25 10:08:00
AAPL,148.60747500000002,148.57,2022-05-24 10:08:00
AAPL,148.707475,148.54500000000002,2022-05-23 10:08:00
AAPL,148.707475,148.515,2022-05-20 10:08:00
AAPL,148.645,148.495,2022-05-19 10:08:00
AAPL,148.634975,148.495,2022-05-18 10:08:00
